obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
1,Morning Session,wm_to_rb,San Agustin,A_transit__U0_d55,optimized_unlisted,R-R,Light,Medium,7,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:11,21.5,06:12:32,30.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:05,8.0,06:03:13,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:20,83.2,06:04:43,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:09,8.0,06:05:17,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:06:02,8.0,06:06:10,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:17,8.0,06:06:25,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:57,8.0,06:09:05,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:15,83.2,06:10:38,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-G,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:11:07,21.5,06:11:28,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:04,8.0,06:03:11,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:18,83.2,06:04:41,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:07,8.0,06:05:14,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:59,8.0,06:06:06,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:13,8.0,06:06:20,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:52,8.0,06:08:59,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:09,180.0,06:12:09,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,G-R,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:38,21.5,06:12:59,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,17.6,06:02:17,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:02:50,4.4,06:02:54,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:01,60.0,06:04:01,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:04:27,4.4,06:04:31,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:16,4.4,06:05:20,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:05:27,4.4,06:05:31,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:03,4.4,06:08:07,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:17,83.2,06:09:40,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-G,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:10:09,11.8,06:10:20,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:04,8.0,06:03:11,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:18,60.0,06:04:18,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:04:44,8.0,06:04:51,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:36,8.0,06:05:43,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:05:50,8.0,06:05:57,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:29,8.0,06:08:36,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:46,180.0,06:11:46,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_d55,optimized_unlisted,R-R,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:15,21.5,06:12:36,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:04,8.0,06:03:12,32.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:19,83.2,06:04:42,7.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:08,8.0,06:05:16,26.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:06:00,8.0,06:06:08,44.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:15,8.0,06:06:23,7.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,6,adhoc_unlisted_2,Unlisted informal curb #2 (mid-corridor ~1.63 km),,informal,06:07:13,8.0,06:07:21,50.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,7,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:06,8.0,06:09:14,106.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,8,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:24,83.2,06:10:47,10.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-G,Light,Medium,9,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:11:15,21.5,06:11:36,28.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:03,8.0,06:03:10,32.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:17,83.2,06:04:40,7.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:06,8.0,06:05:13,26.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:57,8.0,06:06:04,44.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:11,8.0,06:06:18,7.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,6,adhoc_unlisted_2,Unlisted informal curb #2 (mid-corridor ~1.63 km),,informal,06:07:08,8.0,06:07:15,50.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,7,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:00,8.0,06:09:07,106.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,8,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:17,180.0,06:12:17,10.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,G-R,Light,Medium,9,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:45,21.5,06:13:06,28.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U2_d55,optimized_unlisted,R-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,17.6,06:02:17,0.0,schedule_aligned_to_uxsim_e2e
